Team 1,Team 1 Country,Team 2,Team 2 Country,Score,Status
Natus Vincere,Europe,Apeks,Europe,2-1,completed
Team Vitality,Europe,GIANTX,Europe,0-2,completed
FUT Esports,Turkey,Gentle Mates,Europe,2-1,completed
Team Liquid,Europe,KOI,Europe,2-1,completed
Team Heretics,Europe,BBL Esports,Turkey,2-1,completed
FNATIC,Europe,Karmine Corp,Europe,2-1,completed
Apeks,Europe,Karmine Corp,Europe,1-2,completed
GIANTX,Europe,BBL Esports,Turkey,2-1,completed
Team Liquid,Europe,Natus Vincere,Europe,2-0,completed
Gentle Mates,Europe,Team Heretics,Europe,1-2,completed
FUT Esports,Turkey,Team Vitality,Europe,0-2,completed
KOI,Europe,FNATIC,Europe,0-2,completed
FUT Esports,Turkey,GIANTX,Europe,2-1,completed
Gentle Mates,Europe,BBL Esports,Turkey,0-2,completed
Team Liquid,Europe,Apeks,Europe,2-1,completed
KOI,Europe,Karmine Corp,Europe,1-2,completed
Natus Vincere,Europe,FNATIC,Europe,1-2,completed
Team Vitality,Europe,Team Heretics,Europe,0-2,completed
FUT Esports,Turkey,Team Heretics,Europe,0-2,completed
KOI,Europe,Apeks,Europe,2-1,completed
Gentle Mates,Europe,GIANTX,Europe,1-2,completed
Natus Vincere,Europe,Karmine Corp,Europe,2-0,completed
Team Vitality,Europe,BBL Esports,Turkey,1-2,completed
Team Liquid,Europe,FNATIC,Europe,2-0,completed
KOI,Europe,Natus Vincere,Europe,1-2,completed
Apeks,Europe,FNATIC,Europe,0-2,completed
GIANTX,Europe,Team Heretics,Europe,0-2,completed
Gentle Mates,Europe,Team Vitality,Europe,1-2,completed
FUT Esports,Turkey,BBL Esports,Turkey,0-2,completed
Team Liquid,Europe,Karmine Corp,Europe,1-2,completed
FNATIC,Europe,BBL Esports,Turkey,1-2,completed
GIANTX,Europe,Natus Vincere,Europe,2-1,completed
Team Heretics,Europe,BBL Esports,Turkey,0-2,completed
Team Liquid,Europe,GIANTX,Europe,2-1,completed
FNATIC,Europe,Karmine Corp,Europe,2-1,completed
Natus Vincere,Europe,Team Vitality,Europe,2-0,completed
GIANTX,Europe,FNATIC,Europe,2-0,completed
Team Heretics,Europe,Natus Vincere,Europe,0-2,completed
BBL Esports,Turkey,Team Liquid,Europe,1-2,completed
GIANTX,Europe,Natus Vincere,Europe,2-1,completed
BBL Esports,Turkey,GIANTX,Europe,0-3,completed
Team France,France,Team EMEA,Europe,7-13,completed
Team Liquid,Europe,GIANTX,Europe,3-0,completed
